epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,65.8071,0.83316,1.37384,1.84237,1.14135,0,0.41753,0.51483,0.47537,0.31942,0.38045,0.4755,0.43123,0.30524,1.2677,2.48409,2.60402,1.51884,0,0.000517059,0.000517059,0.000517059
29,67.6272,0.8261,1.40974,1.76332,1.17211,0,0.52978,0.50957,0.50252,0.35095,0.49754,0.47428,0.47566,0.32939,1.29339,2.48914,2.51407,1.51975,0,0.000495062,0.000495062,0.000495062
30,69.5212,0.8554,1.32065,1.73381,1.13601,0,0.46991,0.47066,0.46532,0.34087,0.46991,0.47066,0.45351,0.32007,1.29937,2.51876,2.47262,1.52511,0,0.000473064,0.000473064,0.000473064
31,71.6063,0.85586,1.45096,1.71482,1.14575,0,0.49904,0.48897,0.46283,0.32751,0.45453,0.4622,0.44205,0.30573,1.28097,2.64421,2.45636,1.51432,0,0.000451066,0.000451066,0.000451066
32,73.4177,0.80315,1.48952,1.73536,1.14019,0,0.65119,0.44333,0.468,0.32551,0.65119,0.44333,0.45931,0.30972,1.24069,2.68929,2.47169,1.49407,0,0.000429068,0.000429068,0.000429068
33,75.2765,0.77952,1.29661,1.70707,1.136,0,0.51517,0.52521,0.52504,0.36002,0.51517,0.52521,0.51572,0.32313,1.2239,2.70985,2.45155,1.4842,0,0.00040707,0.00040707,0.00040707
34,77.2457,0.82709,1.42438,1.66096,1.13199,0,0.57111,0.53838,0.51428,0.35859,0.57111,0.53838,0.5025,0.31922,1.21017,2.65789,2.42282,1.47252,0,0.000385073,0.000385073,0.000385073
35,79.0807,0.80027,1.33178,1.56535,1.13993,0,0.55832,0.54354,0.54728,0.38439,0.55832,0.54354,0.52044,0.3285,1.17255,2.57502,2.35605,1.42247,0,0.000363075,0.000363075,0.000363075
36,80.9144,0.83223,1.33973,1.53874,1.1244,0,0.47617,0.55667,0.52626,0.39313,0.47617,0.55667,0.49491,0.31939,1.11824,2.48782,2.31434,1.3819,0,0.000341077,0.000341077,0.000341077
37,83.1186,0.76923,1.15972,1.5829,1.05889,0,0.53638,0.61995,0.5126,0.38494,0.53638,0.61995,0.50416,0.31486,1.06532,2.45156,2.31557,1.3522,0,0.000319079,0.000319079,0.000319079
