epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1674.46,1.43621,2.99377,1.98916,1.56084,0,0.3854,0.32183,0.28858,0.15171,0.52812,0.25953,0.28307,0.12724,1.81164,3.37192,2.35296,1.96888,0,0.000554674,0.000554674,0.000554674
29,1744.01,1.42627,3.00206,1.96177,1.54994,0,0.40464,0.28952,0.28097,0.15371,0.42529,0.30032,0.27425,0.12971,1.80329,3.33682,2.34702,1.95745,0,0.000544365,0.000544365,0.000544365
30,1808.57,1.40783,2.93009,1.90211,1.51978,0,0.39131,0.30434,0.28015,0.15177,0.36325,0.28512,0.25258,0.11166,1.83796,3.43188,2.39508,2.01525,0,0.000534057,0.000534057,0.000534057
31,1867.76,1.41273,2.95386,1.94452,1.53111,0,0.34749,0.3017,0.2814,0.15168,0.42831,0.28528,0.27213,0.11905,1.79626,3.37739,2.34034,1.95117,0,0.000523749,0.000523749,0.000523749
32,1927.68,1.39038,2.9206,1.86643,1.52427,0,0.36862,0.32148,0.29056,0.15395,0.36157,0.31422,0.26698,0.12533,1.82503,3.36971,2.28802,1.98241,0,0.00051344,0.00051344,0.00051344
33,1985.98,1.38711,2.88818,1.8744,1.51126,0,0.38499,0.32955,0.30095,0.16571,0.3792,0.32398,0.28432,0.1379,1.77563,3.33578,2.35289,1.92924,0,0.000503132,0.000503132,0.000503132
34,2045.24,1.37393,2.8698,1.83797,1.50596,0,0.38787,0.29625,0.27953,0.14897,0.40335,0.28731,0.28256,0.12508,1.81514,3.35784,2.34703,1.97434,0,0.000492824,0.000492824,0.000492824
35,2105.33,1.35523,2.84789,1.81598,1.49811,0,0.39507,0.34181,0.31803,0.17805,0.41764,0.31092,0.29386,0.14313,1.77226,3.32842,2.27161,1.96363,0,0.000482515,0.000482515,0.000482515
36,2165.24,1.36198,2.87901,1.80644,1.4892,0,0.38615,0.31234,0.28832,0.15661,0.4265,0.30493,0.28556,0.13329,1.76714,3.31606,2.28081,1.91872,0,0.000472207,0.000472207,0.000472207
37,2226.87,1.34365,2.83057,1.78684,1.47964,0,0.38968,0.31847,0.29991,0.16218,0.44602,0.29714,0.29679,0.13848,1.80761,3.31969,2.31312,1.94061,0,0.000461898,0.000461898,0.000461898
38,2286.38,1.35564,2.81936,1.78668,1.48661,0,0.42275,0.30642,0.30502,0.17586,0.3614,0.33009,0.29272,0.14295,1.75776,3.3414,2.26993,1.96303,0,0.00045159,0.00045159,0.00045159
39,2345.52,1.31651,2.79433,1.7414,1.45767,0,0.40791,0.32065,0.30894,0.16878,0.40458,0.32337,0.30429,0.14227,1.81127,3.37572,2.27939,1.99069,0,0.000441282,0.000441282,0.000441282
